Epoch 168 :(mp, mr, map50, map ,*Loss )     0.7193      0.5721       0.629      0.3846           0           0           0 
Epoch 169 :(mp, mr, map50, map ,*Loss )     0.6844      0.5811      0.6224      0.3851           0           0           0 
Epoch 170 :(mp, mr, map50, map ,*Loss )      0.639      0.6286      0.6231      0.3792           0           0           0 
Epoch 171 :(mp, mr, map50, map ,*Loss )     0.7146      0.5698      0.6222      0.3793           0           0           0 
Epoch 172 :(mp, mr, map50, map ,*Loss )     0.6576      0.6243      0.6228      0.3795           0           0           0 
Epoch 173 :(mp, mr, map50, map ,*Loss )     0.7217      0.5803      0.6274      0.3795           0           0           0 
Epoch 174 :(mp, mr, map50, map ,*Loss )     0.6841      0.5906      0.6189      0.3823           0           0           0 
Epoch 175 :(mp, mr, map50, map ,*Loss )     0.6859      0.5912      0.6202      0.3792           0           0           0 
Epoch 176 :(mp, mr, map50, map ,*Loss )     0.6764      0.5912      0.6199      0.3862           0           0           0 
Epoch 177 :(mp, mr, map50, map ,*Loss )     0.7182      0.5819      0.6261      0.3828           0           0           0 
Epoch 178 :(mp, mr, map50, map ,*Loss )     0.7037       0.583      0.6239       0.387           0           0           0 
Epoch 179 :(mp, mr, map50, map ,*Loss )     0.7054      0.5858      0.6198      0.3819           0           0           0 
Epoch 180 :(mp, mr, map50, map ,*Loss )     0.6716      0.6011      0.6235      0.3869           0           0           0 
Epoch 181 :(mp, mr, map50, map ,*Loss )     0.7182       0.616      0.6306      0.3892           0           0           0 
Epoch 182 :(mp, mr, map50, map ,*Loss )     0.7079      0.5993      0.6338        0.39           0           0           0 
Epoch 183 :(mp, mr, map50, map ,*Loss )     0.6837      0.6172      0.6302        0.39           0           0           0 
Epoch 184 :(mp, mr, map50, map ,*Loss )     0.7202      0.5904      0.6263      0.3919           0           0           0 
Epoch 185 :(mp, mr, map50, map ,*Loss )     0.6697      0.5647      0.6041      0.3769           0           0           0 
Epoch 186 :(mp, mr, map50, map ,*Loss )     0.6815      0.5953      0.6227      0.3852           0           0           0 
Epoch 187 :(mp, mr, map50, map ,*Loss )     0.6806      0.5947       0.621      0.3817           0           0           0 
Epoch 188 :(mp, mr, map50, map ,*Loss )     0.6992        0.59      0.6245      0.3814           0           0           0 
Epoch 189 :(mp, mr, map50, map ,*Loss )     0.7171       0.589      0.6321      0.3888           0           0           0 
Epoch 190 :(mp, mr, map50, map ,*Loss )     0.7169      0.5859      0.6215      0.3846           0           0           0 
Epoch 191 :(mp, mr, map50, map ,*Loss )     0.7271      0.5775      0.6159       0.383           0           0           0 
Epoch 192 :(mp, mr, map50, map ,*Loss )     0.6929      0.5788      0.6201      0.3897           0           0           0 
Epoch 193 :(mp, mr, map50, map ,*Loss )      0.668      0.5931      0.6165      0.3827           0           0           0 
Epoch 194 :(mp, mr, map50, map ,*Loss )     0.6637      0.6119      0.6289      0.3929           0           0           0 
Epoch 195 :(mp, mr, map50, map ,*Loss )     0.6678      0.6077      0.6272      0.3907           0           0           0 
Epoch 196 :(mp, mr, map50, map ,*Loss )      0.698      0.5965      0.6188       0.386           0           0           0 
Epoch 197 :(mp, mr, map50, map ,*Loss )     0.6634       0.611      0.6282      0.3932           0           0           0 
Epoch 198 :(mp, mr, map50, map ,*Loss )     0.6789      0.6258      0.6422       0.398           0           0           0 
Epoch 199 :(mp, mr, map50, map ,*Loss )     0.7414      0.5791      0.6314      0.3932           0           0           0 
Epoch 200 :(mp, mr, map50, map ,*Loss )      0.737      0.5908      0.6315      0.3901           0           0           0 
Epoch 201 :(mp, mr, map50, map ,*Loss )     0.6911      0.6195      0.6329      0.3878           0           0           0 
Epoch 202 :(mp, mr, map50, map ,*Loss )     0.7278      0.6024      0.6425      0.3955           0           0           0 
Epoch 203 :(mp, mr, map50, map ,*Loss )      0.697      0.6014      0.6308      0.3859           0           0           0 
Epoch 204 :(mp, mr, map50, map ,*Loss )     0.7315      0.5707      0.6237      0.3878           0           0           0 
Epoch 205 :(mp, mr, map50, map ,*Loss )     0.6936      0.6004      0.6219        0.39           0           0           0 
Epoch 206 :(mp, mr, map50, map ,*Loss )     0.7166      0.6022      0.6306      0.3941           0           0           0 
Epoch 207 :(mp, mr, map50, map ,*Loss )      0.678      0.6242      0.6372      0.3976           0           0           0 
Epoch 208 :(mp, mr, map50, map ,*Loss )     0.6946       0.614      0.6381      0.4012           0           0           0 
Epoch 209 :(mp, mr, map50, map ,*Loss )     0.7175      0.5965      0.6322      0.3989           0           0           0 
Epoch 210 :(mp, mr, map50, map ,*Loss )     0.6744      0.6022      0.6218      0.3929           0           0           0 
